"School Dungeons","Role Playing","Study&Fun","https://play.google.com/store/apps/developer?id=Study%26Fun","5.0","34","0","0","0","0","34"
"The Quest - Celtic Queen","Role Playing","Redshift Games","https://play.google.com/store/apps/developer?id=Redshift+Games","5.0","7","0","0","0","0","7"
"Secret of Harrow Manor VR","Adventure","Only Human Studios","https://play.google.com/store/apps/developer?id=Only+Human+Studios","5.0","1","0","0","0","0","1"
"Viking Village","Adventure","Limitless Fun, LLC","https://play.google.com/store/apps/developer?id=Limitless+Fun,+LLC","4.5","17","1","0","0","5","11"
"Dancing Line US - UK","Arcade","Sun Monkey","https://play.google.com/store/apps/dev?id=9154509758501767875","3.8","4","1","0","0","1","2"
"Wiskunde vir Beginners in afrikaans","Educational","SMART GECKO SOFTWARE DEVELOPMENT (PTY) LTD","https://play.google.com/store/apps/developer?id=SMART+GECKO+SOFTWARE+DEVELOPMENT+%28PTY%29+LTD","0","0",0,0,0,0,0
"Wheelie King 3D Premium","Racing","Kimble Games","https://play.google.com/store/apps/developer?id=Kimble+Games","5.0","41","0","0","0","0","41"
"Tiny Defense - Mini Robot Wars","Strategy","Picsoft Studios","https://play.google.com/store/apps/developer?id=Picsoft+Studios","4.9","10","0","0","0","1","9"
"Kontrast","Puzzle","Zwartekoffie","https://play.google.com/store/apps/developer?id=Zwartekoffie","5.0","28","0","0","0","1","27"
"Mini Golf Arena","Sports","Evoluta Studio","https://play.google.com/store/apps/dev?id=8641419559025429772","5.0","3","0","0","0","0","3"
"CashKnight ( Soul Event Version )","Role Playing","SUPERCLAY Inc","https://play.google.com/store/apps/dev?id=7119777838063241228","4.5","125","10","1","3","13","98"
"Rubik’s Cube Augmented!","Adventure","MERGE","https://play.google.com/store/apps/developer?id=MERGE","5.0","1","0","0","0","0","1"
"Simple Sighmon","Puzzle","Ronald Almeida","https://play.google.com/store/apps/developer?id=Ronald+Almeida","0","0",0,0,0,0,0
"Dream City Life: Urban Survival Edition","Role Playing","Inspire Games Nexus","https://play.google.com/store/apps/dev?id=5906098688400705249","5.0","2","0","0","0","0","2"
"Warriors' Market Mayhem VIP","Role Playing","Cat Lab","https://play.google.com/store/apps/dev?id=7881531158134505254","5.0","2","0","0","0","0","2"
"Firefight","Strategy","Sean O'Connor","https://play.google.com/store/apps/dev?id=5875330403581467051","3.7","11","2","0","1","4","4"
"The Vigil Files: Case 1","Simulation","Lowkey Fun","https://play.google.com/store/apps/developer?id=Lowkey+Fun","5.0","9","0","0","0","0","9"
"Paper Blast","Puzzle","Peter Cook","https://play.google.com/store/apps/developer?id=Peter+Cook","5.0","4","0","0","0","0","4"
"Setup Developer Tool 2018","Racing","Tim McArthur","https://play.google.com/store/apps/developer?id=Tim+McArthur","5.0","1","0","0","0","0","1"
"HorseHotel Premium","Simulation","Tivola","https://play.google.com/store/apps/dev?id=8927372468482477196","5.0","1","0","0","0","0","1"
"Pigs In War - Strategy Game","Strategy","Epic Forge","https://play.google.com/store/apps/dev?id=4753490543437411657","4.8","19","1","0","0","0","18"
"Tricky Ball","Arcade","Ak GameLabs","https://play.google.com/store/apps/developer?id=Ak+GameLabs","0","0",0,0,0,0,0
"Cookie Tapper","Arcade","Ak GameLabs","https://play.google.com/store/apps/developer?id=Ak+GameLabs","0","0",0,0,0,0,0
"Ghost Hunter","Arcade","Humayun GameCons","https://play.google.com/store/apps/developer?id=Humayun+GameCons","0","0",0,0,0,0,0
"Dead End Alley","Action","Cry Havoc Games","https://play.google.com/store/apps/developer?id=Cry+Havoc+Games","0","0",0,0,0,0,0
"PolyKromos","Arcade","Alien Realm Studio","https://play.google.com/store/apps/developer?id=Alien+Realm+Studio","5.0","11","0","0","0","0","11"
"CS go bomb simulator","Casual","zarG Byte","https://play.google.com/store/apps/developer?id=zarG+Byte","5.0","4","0","0","0","0","4"
"God of Battle VIP","Role Playing","DAERISOFT","https://play.google.com/store/apps/dev?id=5362355705811727981","5.0","2","0","0","0","0","2"
"Space Runner","Arcade","Space Jump Runner games","https://play.google.com/store/apps/developer?id=Space+Jump+Runner+games","5.0","3","0","0","0","0","3"
"Dinolango","Racing","Neivson Silva Cerqueira","https://play.google.com/store/apps/developer?id=Neivson+Silva+Cerqueira","5.0","3","0","0","0","0","3"
"pobla peres run","Casual","Chulengol","https://play.google.com/store/apps/developer?id=Chulengol","5.0","7","0","0","0","0","7"
"The Fixies: new game for kids","Arcade","King Bird Games","https://play.google.com/store/apps/dev?id=5415301411857753051","0","0",0,0,0,0,0
"Airsoft Bomb","Simulation","Loran Tecnologia","https://play.google.com/store/apps/developer?id=Loran+Tecnologia","5.0","2","0","0","0","0","2"
"DISTRAINT: Deluxe Edition","Adventure","Jesse Makkonen","https://play.google.com/store/apps/developer?id=Jesse+Makkonen","5.0","4","0","0","0","0","4"
"Underdeck English","Card","UnderDeck","https://play.google.com/store/apps/developer?id=UnderDeck","3.5","2","0","0","1","1","0"
"Childrens Coloring Book Age 3 -10","Educational","Rommel Carpio","https://play.google.com/store/apps/developer?id=Rommel+Carpio","5.0","1","0","0","0","0","1"
"Fork Knife","Puzzle","Ron Dicksen","https://play.google.com/store/apps/developer?id=Ron+Dicksen","5.0","3","0","0","0","0","3"
"100NHAS","Puzzle","Bragi Estúdios","https://play.google.com/store/apps/developer?id=Bragi+Est%C3%BAdios","5.0","6","0","0","0","0","6"
"이그라스대전VR [정글에서살아남기]","Action","mCoCoA","https://play.google.com/store/apps/developer?id=mCoCoA","5.0","2","0","0","0","0","2"
"Saboteur II - Full Version","Action","Clive Townsend","https://play.google.com/store/apps/developer?id=Clive+Townsend","0","0",0,0,0,0,0
"Math puzzles PRO 2","Puzzle","B2A Apps","https://play.google.com/store/apps/developer?id=B2A+Apps","3.6","22","5","1","2","4","10"
"Puigdemont GO! - FULL VERSION","Adventure","TEIXWEB STUDIO","https://play.google.com/store/apps/developer?id=TEIXWEB+STUDIO","0","0",0,0,0,0,0
"Battle of Vicksburg","Action","Thorium Game Lab","https://play.google.com/store/apps/developer?id=Thorium+Game+Lab","3.7","3","1","0","0","0","2"
"Audio Game: Wizard's Choice 2","Role Playing","Delight Games","https://play.google.com/store/apps/dev?id=5443760275283054929","5.0","1","0","0","0","0","1"
"Fly the Gun - Flip weapons pro","Casual","Flip the Gun","https://play.google.com/store/apps/developer?id=Flip+the+Gun","0","0",0,0,0,0,0
