Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
CashAtm - Earn With CashATM,Entertainment,RRK LOGICS,https://play.google.com/store/apps/developer?id=RRK+LOGICS,3.5,192,62,4,9,10,107
Speed Car Race 3D,Racing,Zee Vision Games,https://play.google.com/store/apps/developer?id=Zee+Vision+Games,4.4,169,13,5,11,16,124
"Apental Calc - Reaction, Comment and Follower free",Tools,theRiyazSaifi,https://play.google.com/store/apps/developer?id=theRiyazSaifi,4.2,506,69,7,28,43,359
Missile War Launcher Mission - Rivals Drone Attack,Adventure,woodoo play games,https://play.google.com/store/apps/developer?id=woodoo+play+games,4.1,552,76,14,41,43,378
Spintoearn - Make Full Spin GiftMoney,Entertainment,RRK LOGICS,https://play.google.com/store/apps/developer?id=RRK+LOGICS,3.7,521,142,13,35,21,310
Capital City Building: Mega Construction Games,Simulation,Sablo Games,https://play.google.com/store/apps/developer?id=Sablo+Games,4.3,244,32,3,6,19,184
Bingo Bubbles,Casual,Cookie Crush Games,https://play.google.com/store/apps/dev?id=7236897623184980796,4.6,455,9,6,41,57,342
3D Hologram Keyboard Theme,Personalization,Fashion Cute Emoji,https://play.google.com/store/apps/dev?id=8196694943184486157,4.2,728,97,12,42,62,515
Wild Animals Kingdom Battle Simulator 2018,Simulation,Gamtertainment,https://play.google.com/store/apps/developer?id=Gamtertainment,4.3,317,40,4,18,24,231
Space Cone,Casual,CloudMacaca Inc.,https://play.google.com/store/apps/developer?id=CloudMacaca+Inc.,4.3,86,7,3,4,11,61
Selfie Artifact Camera,Photography,Tailand,https://play.google.com/store/apps/developer?id=Tailand,3.8,60,10,3,7,8,32
Virtual Mother New Baby Twins Family Simulator,Adventure,New Age Gamers,https://play.google.com/store/apps/developer?id=New+Age+Gamers,3.7,702,132,41,84,66,379
LIC Agent App,Finance,LIFE INSURANCE CORPORATION OF INDIA,https://play.google.com/store/apps/developer?id=LIFE+INSURANCE+CORPORATION+OF+INDIA,3.8,366,71,20,22,36,217
Caller Id Number Tracker,Tools,Gallery Connect Zone,https://play.google.com/store/apps/developer?id=Gallery+Connect+Zone,4.4,548,41,15,31,65,396
Drift Car Real Driving Simulator - Extreme Racing,Simulation,Movers Games,https://play.google.com/store/apps/developer?id=Movers+Games,4.3,250,28,8,18,10,186
